,actor_id,actor_movieCount,actor_ratingSum,actor_normalizedMovieRank,actor_googleHits,actor_normalizedGoogleRank,actor_normalizedRating
225,598,7,150,1.1397500038146973,31900,1.0788600444793701,598
226,599,6,130,1.163040041923523,17900,1.0427500009536743,599
227,600,6,130,1.163040041923523,8340,1.0180799961090088,600
228,601,5,160,2.173909902572632,0,NULL,601
229,602,5,160,2.173909902572632,0,NULL,602
230,603,5,100,1,68100,1.1722500324249268,603
231,604,10,200,1,24300,1.0592600107192993,604
232,605,6,120,1,16100,1.038100004196167,605
233,606,6,120,1,15900,1.0375900268554688,606
234,607,6,120,1,7290,1.0153800249099731,607
235,608,7,140,1,1330,1,608
236,609,4,120,1.9782600402832031,0,NULL,609
237,610,5,150,1.9782600402832031,0,NULL,610
238,611,4,120,1.9782600402832031,0,NULL,611
239,612,4,120,1.9782600402832031,0,NULL,612
240,613,4,120,1.9782600402832031,0,NULL,613
241,614,5,150,1.9782600402832031,0,NULL,614
242,615,4,120,1.9782600402832031,0,NULL,615
243,616,4,120,1.9782600402832031,0,NULL,616
244,617,5,150,1.9782600402832031,0,NULL,617
245,618,5,140,1.7826100587844849,0,NULL,618
246,619,5,140,1.7826100587844849,0,NULL,619
247,620,5,140,1.7826100587844849,0,NULL,620
248,621,5,140,1.7826100587844849,0,NULL,621
249,622,5,140,1.7826100587844849,0,NULL,622
250,623,4,110,1.7337000370025635,0,NULL,623
251,624,5,130,1.586959958076477,0,NULL,624
252,625,4,100,1.4891300201416016,0,NULL,625
253,626,4,100,1.4891300201416016,0,NULL,626
254,627,4,100,1.4891300201416016,0,NULL,627
255,628,4,100,1.4891300201416016,0,NULL,628
256,629,4,100,1.4891300201416016,0,NULL,629
257,630,4,100,1.4891300201416016,0,NULL,630
258,631,4,100,1.4891300201416016,0,NULL,631
259,632,4,100,1.4891300201416016,0,NULL,632
260,633,5,120,1.3912999629974365,0,NULL,633
261,634,5,120,1.3912999629974365,0,NULL,634
262,635,5,120,1.3912999629974365,0,NULL,635
263,636,5,120,1.3912999629974365,0,NULL,636
264,637,4,90,1.244570016860962,0,NULL,637
265,638,4,90,1.244570016860962,0,NULL,638
266,639,4,90,1.244570016860962,0,NULL,639
267,640,4,90,1.244570016860962,0,NULL,640
268,641,4,90,1.244570016860962,0,NULL,641
269,642,4,90,1.244570016860962,0,NULL,642
270,643,4,90,1.244570016860962,0,NULL,643
271,644,4,90,1.244570016860962,0,NULL,644
272,645,5,110,1.1956499814987183,0,NULL,645
273,646,5,110,1.1956499814987183,0,NULL,646
274,647,5,110,1.1956499814987183,0,NULL,647
275,648,5,110,1.1956499814987183,0,NULL,648
276,649,5,110,1.1956499814987183,0,NULL,649
277,650,5,100,1,0,NULL,650
278,651,4,80,1,0,NULL,651
279,652,4,80,1,0,NULL,652
280,653,4,80,1,0,NULL,653
281,654,4,80,1,0,NULL,654
282,655,4,80,1,0,NULL,655
283,656,5,100,1,0,NULL,656
284,657,5,100,1,0,NULL,657
285,658,4,80,1,0,NULL,658
286,659,4,80,1,0,NULL,659
287,660,4,80,1,0,NULL,660
288,661,5,100,1,0,NULL,661
289,662,4,80,1,0,NULL,662
290,663,4,80,1,0,NULL,663
291,664,4,80,1,0,NULL,664
292,665,4,80,1,0,NULL,665
293,666,4,80,1,0,NULL,666
294,667,4,80,1,0,NULL,667
295,668,4,80,1,0,NULL,668
296,669,4,80,1,0,NULL,669
297,670,5,100,1,0,NULL,670
298,671,5,100,1,0,NULL,671
299,672,0,0,NULL,0,NULL,672
300,673,0,0,NULL,0,NULL,673
